地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ,資源,粗大ごみ,有害・危険ごみ
仲間 字仲間・3丁目,クリーンセンター,水 土,木1 木3,火,木,木1 木3
仲間 1丁目・2丁目,クリーンセンター,水 土,金2 金4,月,金,金2 金4
安波茶 1丁目・3丁目,クリーンセンター,水 土,木2 木4,火,木,木2 木4
安波茶 2丁目,クリーンセンター,水 土,金2 金4,月,金,金2 金4
伊祖 1丁目・2丁目・4丁目,クリーンセンター,火 金,水1 水3,土,水,水1 水3
伊祖 3丁目,クリーンセンター,火 金,水2 水4,土,水,水2 水4
伊祖 5丁目,クリーンセンター,火 金,月2 月4,木,月,月2 月4
牧港 字牧港,クリーンセンター,火 金,月2 月4,木,月,月2 月4
牧港 2丁目,クリーンセンター,火 金,月2 月4,木,月,月2 月4
牧港 5丁目,クリーンセンター,火 金,月2 月4,木,月,月2 月4
牧港 1丁目,クリーンセンター,火 金,月1 月3,木,月,月1 月3
牧港 3丁目・4丁目,クリーンセンター,火 金,月1 月3,木,月,月1 月3
港川 字港川,クリーンセンター,火 金,月2 月4,木,月,月2 月4
港川 1丁目・2丁目,クリーンセンター,火 金,水2 水4,土,水,水2 水4
城間 字城間(国道58号線より西側),クリーンセンター,火 金,月2 月4,木,月,月2 月4
城間 1丁目,クリーンセンター,火 金,水2 水4,土,水,水2 水4
城間 2丁目,クリーンセンター,火 金,水2 水4,土,水,水2 水4
城間 3丁目・4丁目,クリーンセンター,火 金,水1 水3,土,水,水1 水3
屋富祖 4丁目,クリーンセンター,火 金,水2 水4,土,水,水2 水4
屋富祖 1丁目・2丁目,クリーンセンター,月 木,火1 火3,金,火,火1 火3
屋富祖 3丁目,クリーンセンター,月 木,火1 火3,金,火,火1 火3
宮城 1丁目,クリーンセンター,月 木,火1 火3,金,火,火1 火3
宮城 2～4丁目(例外あり),クリーンセンター,月 木,火2 火4,金,火,火2 火4
宮城 (例外)宮城2丁目40～41,クリーンセンター,月 木,土1 土3,水,土,土1 土3
宮城 (例外)宮城3丁目14～18,クリーンセンター,月 木,土1 土3,水,土,土1 土3
宮城 (例外)宮城4丁目19～23,クリーンセンター,月 木,土1 土3,水,土,土1 土3
宮城 5丁目,クリーンセンター,月 木,土1 土3,水,土,土1 土3
宮城 6丁目,クリーンセンター,月 木,火2 火4,金,火,火2 火4
仲西 1～3丁目,クリーンセンター,月 木,土1 土3,水,土,土1 土3
勢理客 1～4丁目,クリーンセンター,月 木,土2 土4,水,土,土2 土4
内間 1丁目,クリーンセンター,月 木,火2 火4,金,火,火2 火4
内間 2丁目・3丁目,クリーンセンター,月 木,土2 土4,水,土,土2 土4
内間 4丁目・5丁目,クリーンセンター,月 木,土1 土3,水,土,土1 土3
沢岻 字沢岻・1丁目・2丁目1～17,クリーンセンター,水 土,木2 木4,火,木,木2 木4
沢岻 2丁目★ｽﾎﾟｰﾂｸﾗﾌﾞｼﾞｽﾀｽ周辺,クリーンセンター,月 木,土2 土4,水,土,土2 土4
経塚 字経塚(県道153号線より東側)★経塚郵便局側・県営経塚団地,クリーンセンター,水 土,木1 木3,火,木,木1 木3
経塚 字経塚・経塚1丁目(県道153号線より西側)★浦添工業高校・ゆいまーるｾﾝﾀｰ側,クリーンセンター,水 土,木2 木4,火,木,木2 木4
前田 2丁目・3丁目(県道38号線以北)★浦添警察署・前田市営住宅側・中央紫雲閣周辺,クリーンセンター,水 土,金1 金3,月,金,金1 金3
前田 字前田・1丁目・4丁目(県道38号線以南)★前田小学校周辺,クリーンセンター,水 土,木1 木3,火,木,木1 木3
西原 1～6丁目,クリーンセンター,水 土,金1 金3,月,金,金1 金3
当山 1～3丁目,クリーンセンター,水 土,金2 金4,月,金,金2 金4
大平 字大平・3丁目(ﾊﾞｲﾊﾟｽより東側),クリーンセンター,水 土,木2 木4,火,木,木2 木4
大平 1丁目,クリーンセンター,月 木,火1 火3,金,火,火1 火3
大平 2丁目,クリーンセンター,月 木,火2 火4,金,火,火2 火4
